"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","latitude","longitude","accommodates","bathrooms","beds","price","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"1",6983,16774,62,1,"['email', 'phone']",55.68641,12.54741,2,1,1,813,3,15,"1",12,12,35,35,"2022-12-30",172,0,"2009-09-04",4.78,"0",1,1.06,62,4865,0,0,0,0,"Nrrebro","Entire Unit",27,3.29583686600433,4,1.56444054650336,23668225,115145914625,4,"0","0","1","1","2","3",1,1,1,1,0,1,1,1,0
"2",454605,2258629,43,1,"['email', 'phone', 'work_email']",55.68846,12.56095,6,1,5,1529,7,50,"1",1,10,10,58,"2022-12-30",36,1,"2015-04-16",4.89,"0",1,0.38,43,2815,0,0,0,0,"Nrrebro","Condominium",51,3.93182563272433,36,1.58719230348678,7924225,22306693375,36,"1","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"3",678372,3343139,63,1,"['email', 'phone', 'work_email']",55.67112,12.59165,6,1.5,3,1600,3,14,"1",2,2,2,31,"2022-12-30",44,0,"2012-12-17",4.65,"0",1,0.36,63,3665,0,0,0,0,"Indre By","Entire Unit",53,3.97029191355212,36,1.53686721959926,13432225,49229104625,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"4",29118,125230,33,1,"['email', 'phone']",55.67023,12.55504,2,1,1,725,7,14,"1",0,0,0,0,"2022-12-30",25,0,"2010-06-17",4.92,"0",1,0.16,33,4579,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",24,3.17805383034795,4,1.59330853050422,20967241,96008996539,4,"0","1","1","1","1","3",0,1,1,0,0,1,1,1,0
"5",31094,129976,100,1,"['email', 'phone']",55.6666017,12.5552831,6,1.5,2,1954,3,10,"1",0,0,0,0,"2022-12-30",19,0,"2010-08-16",4.88,"0",1,0.13,100,4519,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",65,4.17438726989564,36,1.58514521986506,20421361,92284130359,36,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,0
"6",456207,1735471,100,1,"['email', 'phone']",55.70016,12.53694,4,1,2,700,4,15,"1",0,0,0,0,"2022-12-30",12,0,"2015-05-04",4.33,"0",1,0.13,100,2797,0,0,0,0,"Bispebjerg","Entire Unit",23,3.13549421592915,16,1.4655675420144,7823209,21881515573,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,0
"7",691317,3231818,96,2,"['email', 'phone']",55.68789,12.59094,5,1,3,2500,3,1125,"1",0,2,3,34,"2022-12-30",12,0,"2012-10-15",4.9,"0",2,0.1,96,3728,0,0,0,0,"Indre By","Entire Unit",83,4.4188406077966,25,1.58923520511658,13897984,51811684352,25,"1","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"8",32379,140105,91,3,"['email', 'phone']",55.672638,12.552493,4,2,3,1153,3,365,"1",0,0,0,1,"2022-12-30",80,0,"2010-08-23",4.9,"0",2,0.53,91,4512,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",38,3.63758615972639,16,1.58923520511658,20358144,91855945728,16,"1","1","1","2","2","3",1,1,1,0,0,1,1,1,1
"9",460453,2289329,71,1,"['email', 'phone']",55.66746,12.55269,4,1,2,893,3,20,"1",16,17,19,25,"2022-12-30",23,0,"2013-04-29",4.57,"0",1,0.2,71,3532,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",30,3.40119738166216,16,1.51951320490611,12475024,44061784768,16,"0","1","1","1","1","3",1,1,0,1,0,1,0,1,0
"10",32841,142143,NA,1,"['email', 'phone']",55.71176,12.57091,4,1,2,617,100,1125,"1",30,31,31,212,"2022-12-30",7,0,"2010-07-25",4.57,"0",1,0.05,NA,4541,0,0,0,0,"sterbro","Entire Unit",21,3.04452243772342,16,1.51951320490611,20620681,93638512421,16,"0","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"11",464413,2307381,NA,1,"['phone']",55.67581,12.57425,2,1,1,1199,1,1125,"1",0,0,0,0,"2022-12-30",39,0,"2013-06-24",4.57,"0",1,0.34,NA,3476,0,0,0,0,"Indre By","Entire Unit",40,3.68887945411394,4,1.51951320490611,12082576,41999034176,4,"0","1","1","1","1","1",1,1,1,0,0,0,0,1,1
"12",694393,3553675,67,1,"['email', 'phone']",55.68448,12.51957,2,1,1,750,3,15,"1",0,0,23,113,"2022-12-30",35,0,"2013-11-18",4.72,"0",1,0.32,67,3329,0,0,0,0,"Frederiksberg","Condominium",25,3.2188758248682,4,1.55180879959746,11082241,36892780289,4,"0","0","1","1","1","3",1,1,1,0,0,0,0,1,0
