"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","accommodates","bathrooms","beds","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"1",6983,16774,62,1,"['email', 'phone']",2,1,1,3,15,"1",12,12,35,35,"2022-12-30",172,0,"2009-09-04",4.78,"0",1,1.06,62,4865,0,0,0,0,"Nrrebro","Entire Unit",114,4.7361984483945,4,1.56444054650336,23668225,115145914625,4,"0","0","1","1","2","3",1,1,1,1,0,1,1,1,0
"2",454605,2258629,43,1,"['email', 'phone', 'work_email']",6,1,5,7,50,"1",1,10,10,58,"2022-12-30",36,1,"2015-04-16",4.89,"0",1,0.38,43,2815,0,0,0,0,"Nrrebro","Condominium",214,5.36597601502185,36,1.58719230348678,7924225,22306693375,36,"1","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"3",678372,3343139,63,1,"['email', 'phone', 'work_email']",6,1.5,3,3,14,"1",2,2,2,31,"2022-12-30",44,0,"2012-12-17",4.65,"0",1,0.36,63,3665,0,0,0,0,"Indre By","Entire Unit",224,5.41164605185504,36,1.53686721959926,13432225,49229104625,36,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,0
"4",29118,125230,33,1,"['email', 'phone']",2,1,1,7,14,"1",0,0,0,0,"2022-12-30",25,0,"2010-06-17",4.92,"0",1,0.16,33,4579,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",102,4.62497281328427,4,1.59330853050422,20967241,96008996539,4,"0","1","1","1","1","3",0,1,1,0,0,1,1,1,0
"5",31094,129976,100,1,"['email', 'phone']",6,1.5,2,3,10,"1",0,0,0,0,"2022-12-30",19,0,"2010-08-16",4.88,"0",1,0.13,100,4519,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",274,5.61312810638807,36,1.58514521986506,20421361,92284130359,36,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,0
"6",456207,1735471,100,1,"['email', 'phone']",4,1,2,4,15,"1",0,0,0,0,"2022-12-30",12,0,"2015-05-04",4.33,"0",1,0.13,100,2797,0,0,0,0,"Bispebjerg","Entire Unit",98,4.58496747867057,16,1.4655675420144,7823209,21881515573,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,0
"7",691317,3231818,96,2,"['email', 'phone']",5,1,3,3,1125,"1",0,2,3,34,"2022-12-30",12,0,"2012-10-15",4.9,"0",2,0.1,96,3728,0,0,0,0,"Indre By","Entire Unit",350,5.85793315448346,25,1.58923520511658,13897984,51811684352,25,"1","1","1","1","1","3",1,1,1,0,0,0,0,0,1
"8",32379,140105,91,3,"['email', 'phone']",4,2,3,3,365,"1",0,0,0,1,"2022-12-30",80,0,"2010-08-23",4.9,"0",2,0.53,91,4512,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",161,5.08140436498446,16,1.58923520511658,20358144,91855945728,16,"1","1","1","2","2","3",1,1,1,0,0,1,1,1,1
"9",460453,2289329,71,1,"['email', 'phone']",4,1,2,3,20,"1",16,17,19,25,"2022-12-30",23,0,"2013-04-29",4.57,"0",1,0.2,71,3532,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",125,4.8283137373023,16,1.51951320490611,12475024,44061784768,16,"0","1","1","1","1","3",1,1,0,1,0,1,0,1,0
"12",694393,3553675,67,1,"['email', 'phone']",2,1,1,3,15,"1",0,0,23,113,"2022-12-30",35,0,"2013-11-18",4.72,"0",1,0.32,67,3329,0,0,0,0,"Frederiksberg","Condominium",105,4.65396035015752,4,1.55180879959746,11082241,36892780289,4,"0","0","1","1","1","3",1,1,1,0,0,0,0,1,0
"14",697046,3570281,31,1,"['email', 'phone']",3,1,4,4,1125,"1",20,50,80,355,"2022-12-30",21,0,"2013-01-03",4.65,"0",1,0.17,31,3648,0,0,0,0,"Valby","Condominium",147,4.99043258677874,9,1.53686721959926,13307904,48547233792,9,"0","0","1","1","1","3",1,1,1,0,0,1,0,1,1
"16",477800,2352509,100,1,"['email', 'phone']",6,1.5,4,5,1125,"1",0,0,0,0,"2022-12-30",31,0,"2012-07-28",4.83,"0",1,0.24,100,3807,0,0,0,0,"sterbro","Condominium",158,5.06259503302697,36,1.57484646766448,14493249,55175798943,36,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"17",480083,2377798,41,1,"['email', 'phone']",4,1,1,3,31,"1",16,34,51,97,"2022-12-30",21,0,"2013-08-28",4.85,"0",1,0.18,41,3411,0,0,0,0,"Nrrebro","Condominium",146,4.98360662170834,16,1.57897870494939,11634921,39686715531,16,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,1
"18",38499,122489,75,1,"['email', 'phone']",5,1,1,14,70,"1",0,0,0,87,"2022-12-30",15,0,"2010-08-21",5,"0",1,0.1,75,4514,0,0,0,0,"Indre By","Entire Unit",266,5.5834963087817,25,1.6094379124341,20376196,91978148744,25,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
"19",700271,3592408,57,1,"['email', 'phone']",2,1,1,4,42,"1",0,0,0,0,"2022-12-30",33,1,"2013-01-03",4.88,"0",1,0.27,57,3648,0,0,0,0,"Nrrebro","Condominium",167,5.11799381241676,4,1.58514521986506,13307904,48547233792,4,"0","0","1","1","1","3",1,0,1,0,0,1,0,1,1
"20",71168,141625,60,1,"['email', 'phone']",4,1.5,2,2,32,"1",0,0,0,0,"2022-12-30",10,0,"2013-08-10",5,"0",1,0.09,60,3429,0,0,0,0,"Frederiksberg","Condominium",293,5.68017260901707,16,1.6094379124341,11758041,40318322589,16,"0","1","1","1","1","2",1,1,1,0,0,0,0,0,1
"21",487549,2412622,32,1,"['email', 'phone']",5,1,3,5,14,"1",0,0,0,58,"2022-12-30",5,0,"2022-04-17",5,"0",1,0.58,32,257,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",168,5.12396397940326,25,1.6094379124341,66049,16974593,25,"0","0","1","1","1","3",1,1,1,1,0,1,0,0,0
"22",112292,573172,75,1,"['email', 'phone', 'work_email']",5,1,5,6,40,"1",1,1,1,28,"2022-12-30",34,0,"2011-08-01",4.83,"0",1,0.24,75,4169,0,0,0,0,"Frederiksberg","Entire Unit",229,5.43372200355424,25,1.57484646766448,17380561,72459558809,25,"0","0","1","1","1","3",1,1,1,0,0,0,0,0,1
"23",708262,3642026,100,1,"['email', 'phone']",2,1,1,7,1125,"1",0,0,14,104,"2022-12-30",11,0,"2016-12-04",5,"1",1,0.15,100,2217,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",168,5.12396397940326,4,1.6094379124341,4915089,10896752313,4,"0","1","1","1","1","3",1,1,1,1,0,1,1,0,1
"24",489563,167123,97,2,"['email', 'phone']",2,1,1,3,30,"1",22,49,70,294,"2022-12-30",155,0,"2012-05-28",4.77,"0",1,1.2,97,3868,0,0,0,0,"Amager Vest","Entire Unit",126,4.83628190695148,4,1.56234630490025,14961424,57870788032,4,"0","1","1","1","2","3",0,1,1,1,0,1,0,1,1
"25",489653,2399319,71,1,"['email', 'phone', 'work_email']",3,1,3,3,14,"1",0,0,0,0,"2022-12-30",15,0,"2012-07-12",5,"0",1,0.12,71,3823,0,0,0,0,"Nrrebro","Entire Unit",132,4.88280192258637,9,1.6094379124341,14615329,55874402767,9,"0","1","1","1","1","3",0,1,1,1,0,0,0,1,0
"26",118971,600859,54,1,"['email', 'phone', 'work_email']",4,1,2,3,6,"1",16,46,76,344,"2022-12-30",28,0,"2011-07-28",4.64,"0",1,0.2,54,4173,0,0,0,0,"Nrrebro","Entire Unit",252,5.52942908751142,16,1.53471436623816,17413929,72668325717,16,"0","1","1","1","1","3",0,1,1,1,0,1,0,1,0
"27",119322,602647,0,1,"['email', 'phone']",6,1,6,3,21,"1",27,57,87,362,"2022-12-30",14,0,"2011-06-07",4.75,"0",1,0.1,0,4224,0,0,0,0,"Nrrebro","Entire Unit",187,5.23110861685459,36,1.55814461804655,17842176,75365351424,36,"0","0","1","1","1","3",1,1,1,0,0,0,0,1,0
"28",709859,3652415,48,1,"['email', 'phone']",4,1,2,4,60,"1",0,27,45,247,"2022-12-30",25,0,"2014-03-10",4.68,"0",1,0.23,48,3217,0,0,0,0,"Nrrebro","Entire Unit",137,4.91998092582813,16,1.54329810992956,10349089,33293019313,16,"0","1","1","1","1","3",1,1,1,0,0,1,0,1,1
"29",711746,3198506,55,1,"['email', 'phone']",5,2,5,5,60,"1",0,0,0,32,"2022-12-30",7,0,"2014-08-22",4.33,"0",1,0.07,55,3052,0,0,0,0,"sterbro","Entire Unit",140,4.9416424226093,25,1.4655675420144,9314704,28428476608,25,"0","1","1","2","1","3",1,1,1,1,0,0,0,0,1
"31",718831,3443745,67,1,"['email', 'phone']",6,1,3,7,1125,"1",0,7,7,60,"2022-12-30",19,0,"2013-04-02",4.89,"0",1,0.16,67,3559,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",164,5.0998664278242,36,1.58719230348678,12666481,45080005879,36,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,1
"33",503631,2482360,43,1,"['email', 'phone']",3,1.5,2,4,21,"1",0,8,8,29,"2022-12-30",3,0,"2019-07-22",5,"0",1,0.07,43,1257,0,0,0,0,"Indre By","Entire Unit",167,5.11799381241676,9,1.6094379124341,1580049,1986121593,9,"0","1","1","1","1","3",1,1,1,1,0,1,0,1,0
"34",504029,2054021,38,1,"['email', 'phone']",5,1,5,5,365,"1",0,0,0,53,"2022-12-30",16,0,"2013-01-03",4.89,"0",1,0.13,38,3648,0,0,0,0,"Indre By","Entire Unit",182,5.2040066870768,25,1.58719230348678,13307904,48547233792,25,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"36",143230,695079,71,2,"['email', 'phone', 'work_email']",6,1,3,2,30,"1",0,10,10,83,"2022-12-30",101,0,"2012-05-21",4.89,"0",1,0.78,71,3875,0,0,0,0,"Indre By","Entire Unit",260,5.56068163101553,36,1.58719230348678,15015625,58185546875,36,"1","1","1","1","2","2",1,1,1,1,0,1,1,1,1
"37",504223,1885053,0,1,"['email', 'phone']",4,1,3,4,30,"1",0,0,0,59,"2022-12-30",14,0,"2012-08-28",5,"0",1,0.11,0,3776,0,0,0,0,"Amager Vest","Entire Unit",139,4.93447393313069,16,1.6094379124341,14258176,53838872576,16,"0","1","1","1","1","3",1,1,1,1,0,1,1,1,1
